InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesReceived 	1422576	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesSent 	104652	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.DiscardPacketsReceived 	3	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.DiscardPacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.ErrorsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.ErrorsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.MulticastPacketsReceived 	8073	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.MulticastPacketsSent 	1	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.PacketsReceived 	13172	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.PacketsSent 	969	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.UnicastPacketsReceived 	1001	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.UnicastPacketsSent 	956	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.UnknownProtoPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Status 	 Up	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.DuplexMode 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Enable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.MACAddress 	 8C:10:D4:30:FF:79	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.MACAddressControlEnabled 	0	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.MaxBitRate 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Name 	 eth2	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BroadcastPacketsReceived 	84	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BroadcastPacketsSent 	1	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BytesReceived 	494640	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BytesSent 	390636	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.DiscardPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.DiscardPacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.ErrorsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.ErrorsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.MulticastPacketsReceived 	168	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.MulticastPacketsSent 	101	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.PacketsReceived 	4580	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.PacketsSent 	3617	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.UnicastPacketsReceived 	4328	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.UnicastPacketsSent 	3515	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.UnknownProtoPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Status 	 Up	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.DuplexMode 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Enable 	1	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.MACAddress 	 8C:10:D4:30:FF:79	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.MACAddressControlEnabled 	0	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.MaxBitRate 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Name 	 eth3	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BroadcastPacketsReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BroadcastPacketsSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BytesReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BytesSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.DiscardPacketsReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.DiscardPacketsSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.ErrorsReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.ErrorsSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.MulticastPacketsReceived 	0	0	xsd:string
